iter	RMSE
390	554248.3229
391	553734.8562
392	552902.3901
393	552589.4813
394	551226.7887
395	550735.0183
396	550318.9518
397	549732.758
398	549276.0668
399	548787.5
400	548064.3662
401	547942.7003
402	547307.0656
403	546668.7639
404	545138.1985
405	544302.3651
406	543775.3717
407	543406.3185
408	543021.8611
409	542297.4377
410	541641.7661
411	541558.2514
412	540867.6702
413	540641.0341
414	540414.7855
415	539354.3014
416	538688.4875
417	538658.6772
418	538629.1557
419	538091.238
420	538065.4766
421	538000.5072
422	536765.4249
423	535998.3704
424	535619.9926
425	535377.5239
426	534732.3425
427	534050.6399
428	533760.4748
429	533022.2242
430	532989.0777
431	532513.5719
432	531257.8937
433	530683.8896
434	530427.6008
435	529815.363
436	528490.4842
437	528466.7945
438	528128.6905
439	528101.9205
440	527919.1127
441	527433.4928
442	526859.1244
443	526448.4145
444	526430.416
445	526188.1617
446	526152.6049
447	525875.6555
448	525092.7501
449	525070.9494
450	524773.6746
451	524255.8506
452	524228.2119
453	523705.3645
454	523580.7205
455	523132.2194
456	522998.767
457	521979.3632
458	521936.2722
459	520976.4287
460	520727.896
461	519924.2855
462	519890.545
463	519068.9454
464	518352.1829
465	517489.5639
466	517176.2625
467	516958.8944
468	515384.6406
469	515028.1547
470	514372.4258
471	514107.7167
472	513850.4568
473	513113.8304
474	512979.6737
475	512677.1556
476	512101.9002
477	511423.1497
478	511072.7154
479	510301.341
480	509896.7595
481	509859.8775
482	509620.0656
483	509423.4635
484	508781.6835
485	508080.4103
486	507619.0802
487	507126.4626
488	506887.6532
489	506669.5243
490	505698.0299
491	505147.309
492	504625.6394
493	504182.0495
494	504158.1533
495	503636.9186
496	503112.8765
497	502904.6632
498	502885.4649
499	502862.5377
500	502492.9795
501	502323.4428
502	502049.8024
503	501874.653
504	501517.6952
505	501384.7965
506	500541.2827
507	499867.1416
508	499836.8629
509	499351.5003
510	499034.2616
511	498830.6788
512	498479.1819
513	497728.5527
514	497414.7268
515	496912.6724
516	496608.4114
517	496388.2234
518	496209.1723
519	495956.8138
520	495335.2441
521	494582.8301
522	494021.8528
523	492717.7384
524	492047.4365
525	491421.3278
526	491114.9039
527	490938.7605
528	490769.1142
529	490228.0362
530	489551.0865
531	489389.8936
532	489112.8374
533	488950.8825
534	488538.7805
535	487896.2361
536	487611.297
537	487131.1068
538	486746.3228
539	486311.3036
540	486039.6583
541	486016.9106
542	485860.078
543	485700.4182
544	485544.2878
545	484780.4385
546	484303.2802
547	484159.0368
548	483624.4056
549	483248.9754
550	483112.1876
551	482851.3483
552	482698.075
553	482058.4844
554	481540.054
555	481383.6611
556	480915.5324
557	480716.1909
558	479970.8962
559	479274.5781
560	478983.9532
561	478954.4865
562	478218.1035
563	477687.9612
564	477549.005
565	477121.3919
566	476973.9832
567	476347.7413
568	476006.2214
569	475658.2361
570	475166.8468
571	475023.6273
572	474432.5618
573	474099.1114
574	473859.7046
575	473336.4136
576	473144.622
577	473124.8806
578	473030.3406
579	472632.6976
580	472271.3609
581	471867.3715
582	471658.6294
583	471517.4293
584	471484.8342
585	470954.2706
586	470039.2157
587	470012.4487
588	469731.6298
589	469605.0579
590	468917.6876
591	468468.8678
592	468351.5295
593	467751.1272
594	467414.2405
595	467263.8696
596	467226.6796
597	467170.4988
598	466990.2397
599	466212.1554
600	465743.0743
601	464962.1685
602	464835.0525
603	464693.7538
604	464374.0907
605	463614.7734
606	462786.4707
607	462732.7593
608	462600.441
609	462582.1519
610	462092.3365
611	461782.4853
612	461295.8152
613	460847.2098
614	460185.8569
615	460168.7379
616	459978.2636
617	459533.5104
618	459516.751
619	459340.4152
620	459254.4967
621	458725.4154
622	458595.5855
623	457931.2566
624	457624.2249
625	457472.9856
626	457343.3961
627	456707.6917
628	456581.0622
629	456065.9852
630	455013.8992
631	454888.579
632	454397.6372
633	454189.6386
634	453867.319
635	453745.4949
636	453460.3897
637	453335.8602
638	452147.1617
639	451705.1262
640	451516.7169
641	450951.0991
642	450686.0209
643	450184.8931
644	449377.267
645	448941.1607
646	448238.1599
647	448122.3058
648	447794.0372
649	447227.3225
650	446922.5835
651	446718.3518
652	446422.6518
653	446103.1835
654	445508.1022
655	445349.9197
656	445082.9987
657	444990.8829
658	444970.6179
659	444499.4833
660	444296.7375
661	444139.3722
662	443304.7625
663	442681.0639
664	442461.5397
665	441982.763
666	441338.2172
667	440654.621
668	440361.9348
669	439979.1882
670	439542.8437
671	439369.003
672	439076.3759
673	438522.825
674	438401.4869
675	438219.4074
676	437743.4957
677	437634.5628
678	437527.8041
679	437015.8445
680	436745.8154
681	436731.3487
682	436144.9995
683	435984.1838
684	435898.2872
685	435878.2363
686	435611.3112
687	434800.4428
688	434781.0855
689	434324.6221
690	434219.7441
691	433815.1516
692	433719.7483
693	433616.3714
694	432911.4489
695	432456.8171
696	432136.58
697	431792.4695
698	431691.904
699	431602.3952
700	431503.1793
701	431392.5634
702	431085.7137
703	430801.3066
704	430497.699
705	430315.0651
706	429685.1802
707	429599.71
708	429139.2593
709	428615.2519
710	428204.2003
711	427853.3992
712	427674.691
713	427614.785
714	427459.5239
715	427029.4661
716	426287.1493
717	426006.9275
718	425546.5612
719	425074.2788
720	424663.4655
721	424197.0519
722	423949.8486
723	423441.6875
724	423298.9317
725	423020.5882
726	422584.8441
727	422152.9358
728	421596.9573
729	421139.4572
730	420859.8604
731	420762.6661
732	420599.4181
733	419772.8474
734	419122.8487
735	418850.2472
736	418581.0602
737	418475.3856
738	418406.2694
739	418163.2382
740	417937.6968
741	417425.0427
742	417307.5601
743	417181.0356
744	417167.9226
745	417084.0714
746	416703.0803
747	416695.5954
748	416603.4791
749	416114.3911
750	415974.8479
751	415767.0241
752	415501.1347
753	415372.1348
754	414979.3259
755	414207.2767
756	413887.2026
757	413647.9185
758	413390.6386
759	412948.7743
760	412723.8072
761	412565.3889
762	412457.6926
763	412239.7351
764	412040.7571
765	411678.8353
766	411536.8307
767	411413.8297
768	410949.8275
769	410647.8085
770	410559.6105
771	410469.3909
772	410420.4803
773	410172.9901
774	410056.8472
775	409994.1083
776	409623.4078
777	409203.3972
778	409126.2624
779	409115.017
780	408499.7468
781	408305.1985
782	408119.6779
783	407546.2147
784	407273.6693
785	407004.4114
786	406758.7198
787	406307.3994
788	406042.8914
789	405648.3862
790	405629.6477
791	405550.1236
792	405316.2559
793	405175.34
794	404959.7407
795	404507.8206
796	404442.1731
797	403622.1416
798	403028.3882
799	402827.4733
800	402234.6616
801	402006.9129
802	401858.7887
803	401647.7372
804	401203.6498
805	400774.8665
806	400451.205
807	400139.0408
808	399985.5478
809	399863.4996
810	399793.2619
811	399566.0604
812	399476.4746
813	399355.4437
814	399315.5238
815	398982.3699
816	398324.0939
817	397980.4177
818	397846.5093
819	397824.1664
820	397547.1244
821	397418.8698
822	397245.6443
823	396759.3858
824	396072.1116
825	395643.7201
826	395469.6717
827	395109.3032
828	394622.3332
829	394498.2002
830	394209.6827
831	394014.7083
832	393624.4105
833	393616.0036
834	393545.6388
835	393515.3883
836	393193.4405
837	392933.9447
838	392925.6175
839	392647.5768
840	392342.4602
841	392061.2558
842	391999.6457
843	391463.5373
844	391066.8507
845	390735.1674
846	390330.3138
847	390265.2464
848	389926.0305
849	389865.7244
850	389856.2468
851	389486.8023
852	389044.8471
853	388798.3835
854	388402.9032
855	388138.7154
856	387978.2804
857	387595.9382
858	387053.4538
859	386983.1995
860	386919.8484
861	386864.2989
862	386627.3455
863	386396.1733
864	385699.6514
865	385283.2789
866	384606.6945
867	384199.1469
868	384089.4162
869	383933.7176
870	383673.1044
871	383101.2116
872	382970.01
873	382861.7092
874	382800.6612
875	382414.2857
876	381982.6115
877	381794.442
878	381338.1837
879	381094.3595
880	380713.9146
881	380454.3515
882	380253.2911
883	379608.7898
884	379478.4165
885	378998.5618
886	378715.828
887	378579.6571
888	378151.0776
889	378007.4316
890	377818.2785
891	377416.9051
892	377405.7413
893	377020.2962
894	376629.6193
895	376097.3914
896	375695.2956
897	375331.9614
898	374906.6475
899	374850.2269
900	374592.7604
901	374437.8251
902	374266.0038
903	374119.8691
904	373873.5068
905	373489.9922
906	373152.7733
907	373026.1768
908	372879.329
909	372523.3723
910	372486.5316
911	372273.476
912	371921.3131
913	371873.1587
914	371726.5206
915	371386.8248
916	371149.4234
917	371126.7841
918	370850.7906
919	370754.3172
920	370414.5491
921	370320.8431
922	369842.9827
923	369557.5169
924	369413.115
925	369252.0866
926	369025.8673
927	368968.8826
928	368444.4619
929	368400.3246
930	368107.6416
931	368014.9472
932	367543.0195
933	367313.6601
934	367144.2987
935	367054.8248
936	366773.6284
937	366632.6896
938	366348.6544
939	366148.0085
940	365900.4111
941	365685.1819
942	365526.6322
943	365498.6647
944	365383.984
945	365276.8379
946	364921.1006
947	364478.057
948	364260.7522
949	363925.89
950	363715.5614
951	363456.5234
952	363279.0965
953	363239.108
954	363136.4952
955	362889.9385
956	362701.1208
957	362628.6641
958	362538.2938
959	362238.3205
960	361913.2123
961	361476.3149
962	361164.8268
963	361093.3939
964	360538.2699
965	360440.9164
966	360183.1083
967	360093.7204
968	359774.9203
969	359473.5919
970	359245.9263
971	358825.7425
972	358702.429
973	358538.1979
974	358106.2156
975	357761.2355
976	357441.1778
977	357161.2528
978	356948.1572
979	356897.3758
980	356616.3195
981	356517.5921
982	356465.082
983	356063.7437
984	356028.7036
985	355692.025
986	355494.9228
987	355469.5357
988	355419.8096
989	354829.9634
990	354707.8208
991	354547.3841
992	354224.8174
993	354161.2523
994	354115.3856
995	353719.4415
996	353543.5767
997	353385.9315
998	353080.0375
999	352982.7777
